PROJECT,MARKET CAP,FCAS,DEV. BEHAVIOR,USER ACTIVITY,MARKET MATURITY,1D,5D,1M,6M,1Y,1D,5D,1M,6M,1Y,1D,5D,1M,6M,1Y,1D,5D,1M,6M,1Y
Golem GNT,"$115,414,573.63",717,886,488,813,-0.28%,-0.97%,5.59%,9.29%,5.90%,-0.12%,-0.12%,1.83%,4.11%,0.22%,-0.82%,-3.18%,12.96%,19.90%,12.96%,-0.13%,0.24%,11.52%,16.97%,31.98%
Lisk LSK,"$176,822,260.09",718,825,578,756,0.00%,0.13%,4.20%,0.00%,-2.45%,0.00%,0.00%,1.60%,-3.40%,-5.29%,0.00%,0.34%,7.83%,6.05%,-2.86%,-0.40%,-0.14%,9.24%,2.30%,24.75%
Aeternity AE,"$43,465,970.93",722,893,562,750,-0.14%,0.13%,2.55%,0.27%,0.55%,-0.12%,-0.34%,-0.12%,-1.55%,-3.98%,0.00%,0.00%,0.00%,16.35%,19.82%,0.00%,0.13%,5.18%,1.35%,16.45%
Ark ARK,"$40,423,421.07",727,920,537,738,0.13%,0.27%,2.68%,17.63%,26.43%,0.00%,-0.22%,0.65%,2.79%,4.54%,0.00%,0.00%,2.28%,2.28%,168.50%,-0.14%,0.13%,-5.02%,16.22%,31.78%
Tezos XTZ,"$1,880,545,295.51",741,686,787,856,0.00%,-0.54%,-2.38%,0.27%,8.01%,0.00%,-0.87%,-5.25%,1.32%,15.48%,0.00%,0.00%,0.00%,-0.13%,-0.64%,0.23%,-1.16%,1.42%,-3.17%,17.42%
Litecoin LTC,"$3,159,525,382.75",742,613,883,840,0.27%,0.54%,-0.81%,5.39%,-1.07%,0.65%,1.32%,-3.16%,12.06%,-0.49%,0.00%,-0.12%,0.91%,0.68%,-2.76%,0.00%,0.00%,1.44%,1.94%,5.79%
Fetch FET,"$64,640,128.24",745,866,578,834,0.26%,-0.41%,11.36%,20.16%,10.04%,0.00%,0.34%,2.12%,2.85%,-1.71%,0.69%,-2.04%,37.94%,76.75%,29.01%,0.00%,0.00%,2.83%,17.13%,50.54%
Enigma ENG,"$40,074,089.52",749,865,601,776,-0.40%,-0.93%,1.90%,6.54%,28.47%,0.11%,0.58%,1.52%,3.34%,8.80%,-1.32%,-3.69%,0.33%,11.09%,79.94%,0.12%,0.91%,12.46%,14.79%,49.51%
Steem STEEM,"$67,751,246.00",750,735,780,693,-0.27%,-0.80%,-0.40%,-1.19%,-6.61%,-0.55%,-1.21%,-2.52%,-3.42%,-11.88%,-0.13%,-0.39%,1.29%,0.77%,-4.53%,0.43%,-0.86%,5.47%,2.81%,29.29%
Numeraire NMR,"$120,642,075.34",750,683,827,786,-0.27%,0.94%,9.80%,15.38%,36.11%,0.00%,1.94%,-4.61%,-4.88%,18.98%,-0.73%,0.12%,24.73%,45.59%,46.37%,0.12%,-0.64%,37.65%,22.42%,138.90%
SingularityNET AGI,"$36,622,524.70",753,834,655,744,-0.53%,-2.21%,15.49%,17.84%,18.58%,0.12%,0.72%,5.97%,-2.92%,-5.98%,-1.80%,-7.23%,32.32%,73.74%,95.52%,0.81%,0.94%,22.57%,27.61%,31.68%
iExec RLC RLC,"$83,839,542.48",759,767,740,809,0.00%,-1.05%,-4.29%,10.64%,26.50%,0.00%,0.00%,-1.04%,7.27%,-3.28%,-0.14%,-2.25%,-9.10%,12.63%,91.21%,0.74%,-1.23%,0.12%,23.88%,75.48%
Ontology ONT,"$449,816,967.29",759,855,628,827,0.00%,-0.27%,-1.31%,6.00%,-0.92%,0.00%,-0.47%,-0.70%,6.21%,0.23%,0.00%,0.15%,-3.54%,6.26%,-5.71%,0.73%,0.85%,3.76%,4.94%,12.97%
